"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3016501,"September 5, 2024",Minnesota,Minneapolis,"Portland Ave and E 15th St",1,0,0,0,0,N/A
3016364,"September 5, 2024","New York",Bronx,"1702 Belmont Ave",1,0,0,0,0,N/A
3016448,"September 5, 2024",Wisconsin,Milwaukee,"W Keefe Ave and N 50th St",0,1,0,0,0,N/A
3016440,"September 5, 2024",Louisiana,"La Place (LaPlace)","1 Wildcat Dr",0,0,0,0,1,N/A
3016430,"September 5, 2024",Wisconsin,Milwaukee,"N 91st St and W Custer Ave",0,3,0,1,1,N/A
3016408,"September 5, 2024","New York",Rochester,"Dove St and Birr St",0,1,0,0,0,N/A
3016428,"September 5, 2024",Oregon,"Lincoln City","1905 NW Jetty Ave",0,0,1,0,0,N/A
3016412,"September 5, 2024","New York",Troy,"Highland Ave and Brunswick Ave",0,1,0,0,0,N/A
3016368,"September 5, 2024","New York",Bronx,"Jennings St and Bryant Ave",0,2,0,0,0,N/A
3016386,"September 5, 2024","New York",Rochester,"800 block of N Clinton Ave",0,2,0,0,0,N/A
3016359,"September 5, 2024","South Carolina","North Charleston","3543 Dorchester Rd",1,0,0,0,0,N/A
3016333,"September 5, 2024",Georgia,Thomasville,"117 Glenwood Dr",0,0,0,0,1,N/A
3016229,"September 5, 2024",Pennsylvania,Philadelphia,"100 block of 2nd St",0,1,0,0,0,N/A
3016269,"September 5, 2024",California,Modesto,"2501 Oakdale Rd",0,1,0,0,0,N/A
3016232,"September 5, 2024",Georgia,Atlanta,"1181 Metropolitan Pkwy SW",0,1,0,0,0,N/A
3016226,"September 5, 2024",Georgia,Savannah,"2000 block of Nash St",0,1,0,0,0,N/A
3016215,"September 5, 2024",Indiana,"Daviess (county)",IN-257,0,0,1,0,0,N/A
3016174,"September 5, 2024",Pennsylvania,Allentown,"2000 block of E Cedar St",1,0,1,0,0,N/A
3016197,"September 5, 2024",Alabama,Birmingham,"1617 Fifth Ave N",2,0,0,0,0,N/A
3016191,"September 5, 2024",Ohio,Columbus,"1600 block of Audrey Rd",0,0,0,1,0,N/A
3016096,"September 5, 2024",Indiana,Bluffton,"200 block of W Washington St",0,1,1,0,0,N/A
3016047,"September 5, 2024",Indiana,Indianapolis,"8700 block of Calbert Ct",0,1,0,0,1,N/A
3015909,"September 5, 2024","New Jersey",Edison,"120 French St",0,1,0,0,0,N/A
3015742,"September 4, 2024","North Carolina",Durham,"5100 block of Revere Rd",0,1,0,0,0,N/A
3015630,"September 4, 2024",Ohio,Columbus,"3006 Noe Bixby Rd",0,1,0,0,1,N/A
3015618,"September 4, 2024",Illinois,Peoria,"S MacArthur Hwy and W Johnson St",1,1,0,0,0,N/A
3015485,"September 4, 2024",Mississippi,Jackson,"100 block of Cedars of Lebanon Rd",1,0,0,0,0,N/A
3015589,"September 4, 2024",Illinois,Chicago,"3993 S Martin Luther King Dr",1,0,0,0,0,N/A
3015581,"September 4, 2024","New York",Brooklyn,"537 Park Pl",0,2,0,0,0,N/A
3015578,"September 4, 2024",Mississippi,Laurel,"Willus Dr",0,1,0,0,0,N/A
3015569,"September 4, 2024","New York",Bronx,"2190 Folin St",0,1,0,0,0,N/A
3015543,"September 4, 2024",Wisconsin,Milwaukee,"5157 N 58th St",0,1,0,0,0,N/A
3016499,"September 4, 2024","North Carolina",Whiteville,"300 block of Madison St",0,1,0,0,0,N/A
3015451,"September 4, 2024",Indiana,"Fort Wayne","Oliver St and Mc Kee St",0,1,0,0,0,N/A
3014703,"September 4, 2024",Georgia,Winder,"940 Haymon Morris Rd",4,9,0,0,1,N/A
3016471,"September 4, 2024",California,"Los Angeles","1612 N Cahuenga Blvd",0,2,0,0,0,N/A
